Formulário de avaliação de aplicações de análise de vulnerabilidade,,,,,,,,,,,
2ª PESQUISA: /vulnerability code scan,,,,147,,,,,,,
SEQ,NOME,URL,LINGUAGEM,FORKS,WATCHING,ESTRELAS,LICENÇA,PUBLICAÇÃO,ALTERAÇÃO,BANCO DE DADOS,RESUMO
130,TaLevy94/security-score-cli,https://github.com/TaLevy94/security-score-cli,N/A,-,-,-,-,-,-,-,Repositório possui o Readme e o arquivo gitignore na data da pesquisa
131,TartarusLabs/phpscan,https://github.com/TartarusLabs/phpscan,Python,0,0,3,GPL-3.0 License,2018,2022,N/A,É SCript para escanear atravś de um projeto PHP e etiquetar funções que são de interesse no quesito vulnerabilidades de segurança
132,Technomux/hackerpro,https://github.com/Technomux/hackerpro,N/A,16,28,144,N/A,2019,2019,N/A,É uma ferramenta All in one para linux e Android. Sem documentação
133,TejGandhi/Vulnerability-Scanner,https://github.com/TejGandhi/Vulnerability-Scanner,N/A,0,0,0,N/A,2017,2017,N/A,"Repositório possui apenas o arquivo Executenmapscript.php.lnk, vazio"
134,tenable/accurics-orb,https://github.com/tenable/accurics-orb,Shell Script,4,4,1,Apache-2.0 License,2020,2020,N/A,"É uma ferramenta que faz escaneamento em IaC, via pipeline da aplicação Accurics (https://accurics.com) off line na data da pesquisa)"
135,testcomputer/python-scripts,https://github.com/testcomputer/python-scripts,Python,0,2,2,N/A,2023,2022,N/A,É uma material para treinamento com código de exemplo usando Python para tarefas de segurança de rede
136,theahmadov/VOID,https://github.com/theahmadov/VOID,Python,4,4,20,N/A,2022,2022,N/A,É uma ferramenta de escaneamento de segurança e hacking e teste de penetração
137,tmtmtoo/vulnerability-scan-example,https://github.com/tmtmtoo/vulnerability-scan-example,Go,0,2,0,MIT License,2020,2020,N/A,É uma ferramenta para escaneamento de código e container anchorado no CodeQL
138,TolgaTD/TargetIPListCreator,https://github.com/TolgaTD/TargetIPListCreator,Python,0,1,0,N/A,2023,2023,N/A,É uma ferramenta para identificar erros e vulnerabilidades de segurança que busca alvos na internet usando a API BinaryEdge
139,tuanndd/ansible-code-scanning,https://github.com/tuanndd/ansible-code-scanning,Shell Script,0,1,1,N/A,2022,2022,CVE e CWE,É uma configuração de role Ansible para ferramenta SAST que executa código de escaneamento no servidor
140,uvhw/Bitcoin-Foundation,https://github.com/uvhw/Bitcoin-Foundation,C++,5,1,4,MIT License,2021,2022,N/A,É uma versão de ferramenta de caixa eletrônico ponto-a-ponto que permite pagamentos on-line
141,vladvasyuk/security-test2,https://github.com/vladvasyuk/security-test2,Python,-,-,-,-,-,-,-,Repositório possui apenas o Readme na data da pesquisa
142,vmnguyen/Code-Crawler,https://github.com/vmnguyen/Code-Crawler,Python,8,3,17,N/A,2020,2020,OWASP,É uma ferramenta automática usada para rastrear código para encontrar vulnerabilidades fáceis - com base no Guia de revisão de código seguro OWASP
143,vulnerable-demo-app/demo-code-scanning,https://github.com/vulnerable-demo-app/demo-code-scanning,Javascript,0,1,0,N/A,2019,2019,N/A,"É um demo de escaner de vulnerabilidade usando LGTM, no caso, uma injeção de código em um aquivo zip"
144,waqaskhan137/beryl,https://github.com/waqaskhan137/beryl,Java,0,2,0,GPL-3.0 License,2022,2022,N/A,É um projeto opensource para escaneamento de vulnerabilidades e dependências em código fonte
145,xlab-si/iac-scan-runner,https://github.com/xlab-si/iac-scan-runner,Python,0,4,10,Apache-2.0 License,2021,2023,N/A,É um serviço API REST para escanear infraestrutura como código (IAC) sobre vulnerabilidades de segurança
146,yaph/domxssscanner,https://github.com/yaph/domxssscanner,HTML,52,12,188,N/A,2011,2018,N/A,É um escaner online que facilita a revisão de código de páginas web e código Javascript para potenciais vulnerabilitadades de segurança Xss baseada em DOM
147,Yonks20/WebVulnerabilityScanner,https://github.com/Yonks20/WebVulnerabilityScanner,PHP,0,1,0,N/A,2023,2023,N/A,É uma aplicação web para busca de SQL Injectin e ataques XSS usando técnica Mining Method
